Category: All categories,
,
Day,Coronavirus: (Worldwide)
2/9/2020,8
2/10/2020,8
2/11/2020,8
2/12/2020,7
2/13/2020,8
2/14/2020,7
2/15/2020,6
2/16/2020,6
2/17/2020,6
2/18/2020,5
2/19/2020,5
2/20/2020,5
2/21/2020,8
2/22/2020,13
2/23/2020,18
2/24/2020,21
2/25/2020,26
2/26/2020,30
2/27/2020,31
2/28/2020,31
2/29/2020,29
3/1/2020,26
3/2/2020,32
3/3/2020,32
3/4/2020,35
3/5/2020,36
3/6/2020,37
3/7/2020,35
3/8/2020,39
3/9/2020,48
3/10/2020,54
3/11/2020,65
3/12/2020,94
3/13/2020,96
3/14/2020,88
3/15/2020,98
3/16/2020,100
3/17/2020,93
3/18/2020,90
3/19/2020,88
3/20/2020,85
3/21/2020,87
3/22/2020,93
3/23/2020,82
3/24/2020,76
3/25/2020,74
3/26/2020,70
3/27/2020,73
3/28/2020,74
3/29/2020,71
3/30/2020,61
3/31/2020,60
4/1/2020,57
4/2/2020,56
4/3/2020,71
4/4/2020,79
4/5/2020,79
4/6/2020,61
4/7/2020,64
4/8/2020,60
4/9/2020,58
4/10/2020,58
4/11/2020,49
4/12/2020,46
4/13/2020,58
4/14/2020,54
4/15/2020,56
4/16/2020,54
4/17/2020,52
4/18/2020,53
4/19/2020,47
4/20/2020,43
4/21/2020,42
4/22/2020,34
4/23/2020,44
4/24/2020,45
4/25/2020,39
4/26/2020,36
4/27/2020,31
4/28/2020,29
4/29/2020,27
4/30/2020,26
5/1/2020,27
5/2/2020,27
5/3/2020,28
5/4/2020,25
